epoch,start_time,end_time,first_block_time,last_block_time,block_count,tx_count,output,fees,active_stake,avg_transaction_cost
153,1572299091,1572731091,1572299091,1572731071,21600,8776,9596534547.360712,1736.117854,,0.1978256442570647
154,1572731091,1573163091,1572731091,1573163071,21601,9830,8743704888.023111,1861.11321,,0.1893299298067141
155,1573163091,1573595091,1573163091,1573595071,21601,13306,12071601524.128197,2580.066982,,0.1939025238238388
156,1573595091,1574027091,1573595091,1574027071,21601,8934,6215676027.624232,1710.346269,,0.191442385157824
157,1574027091,1574459091,1574027091,1574459071,21600,9575,8223365164.244027,1822.836013,,0.1903745183289817
158,1574459091,1574891091,1574459091,1574891071,21601,10270,18600515822.3738,1960.470457,,0.1908929364167478
159,1574891091,1575323091,1574891091,1575323071,21601,13681,57679286266.09439,2597.20628,,0.1898403830129376
160,1575323091,1575755091,1575323091,1575755071,21085,6080,21506071300.39813,1139.646775,,0.1874419037828947
161,1575755091,1576187091,1575755091,1576187071,21601,6273,8660830526.794598,1185.143982,,0.1889277828790052
162,1576187091,1576619091,1576187091,1576619071,21601,7721,33253203145.607094,1456.964312,,0.1887015039502655
163,1576619091,1577051091,1576619091,1577051071,21601,7741,21714983859.320538,1454.655575,,0.1879157182534556
164,1577051091,1577483091,1577051091,1577483071,21601,6829,7513426208.91719,1278.618969,,0.1872337046419681
165,1577483091,1577915091,1577483091,1577915071,21601,6553,5582485975.749113,1236.216259,,0.1886489026400122
166,1577915091,1578347091,1577915091,1578347071,21601,6702,7832404072.412257,1263.691615,,0.1885544039092808
167,1578347091,1578779091,1578347091,1578779071,21601,8050,9863061759.987812,1518.035379,,0.1885758234782608
168,1578779091,1579211091,1578779091,1579211071,21601,9057,10413242912.834694,1714.484244,,0.1892993534282875
169,1579211091,1579643091,1579211091,1579643071,21601,10005,10583462927.53817,1901.803736,,0.1900853309345327
170,1579643091,1580075091,1579643091,1580075071,21601,7922,7376066177.039014,1479.203577,,0.1867209766473112
171,1580075091,1580507091,1580075091,1580507071,21601,13337,32017048640.320423,6842.436272,,0.5130416339506636
172,1580507091,1580939091,1580507091,1580939071,21601,14296,12022981784.409708,2752.68625,,0.19254940193061
173,1580939091,1581371091,1580939091,1581371071,21601,15507,11942041305.8216,2966.570176,,0.1913052283484878
174,1581371091,1581803091,1581371091,1581803071,21577,18469,11484493980.898016,3555.197049,,0.192495373274135
175,1581803091,1582235091,1581803091,1582235071,21600,16076,8057409088.373509,3126.918667,,0.1945085013062951
176,1582235091,1582667091,1582235091,1582667071,21600,12985,10750973153.606234,2456.842065,,0.1892061659607239
177,1582667091,1583099091,1582667091,1583099071,21600,14822,12073646064.962162,2922.577027,,0.1971783178383483
178,1583099091,1583531091,1583099091,1583531071,21600,12981,8584970239.638927,2595.486425,,0.1999450292735536
179,1583531091,1583963091,1583531091,1583963071,21597,13819,12684795100.565428,2754.237879,,0.1993080453723134
180,1583963091,1584395091,1583963091,1584395071,21600,20678,47472357072.6222,4279.166907,,0.2069429783828223
181,1584395091,1584827091,1584395091,1584827071,21600,15283,24092753799.250072,3207.625486,,0.2098819267159589
182,1584827091,1585259091,1584827091,1585259071,21600,13497,21680014929.40509,2825.468616,,0.2093404916648144
183,1585259091,1585691091,1585259091,1585691071,21600,13313,26043893489.597256,2872.1757,,0.2157421843311049
184,1585691091,1586123091,1585691091,1586123071,21600,11204,9989748000.010471,2642.316241,,0.2358368654944662
185,1586123091,1586555091,1586123091,1586555071,21587,12246,14440991529.814812,2915.517825,,0.2380791952474277
186,1586555091,1586987091,1586555091,1586987071,21600,10496,8306421508.309475,2626.85858,,0.2502723494664634
187,1586987091,1587419091,1586987091,1587419071,21596,11565,10679638488.113735,3298.397978,,0.2852051861651535
188,1587419091,1587851091,1587419091,1587851071,21600,15360,18034142687.78853,4233.45767,,0.2756157337239583
189,1587851091,1588283091,1587851091,1588283071,21597,19738,27176074280.231903,5268.428284,,0.2669180405309555
190,1588283091,1588715091,1588283091,1588715071,21600,15252,9777757888.587503,4319.180415,,0.2831878058615263
191,1588715091,1589147091,1588715091,1589147071,21600,17354,9214549967.455776,5057.763378,,0.2914465470784833
192,1589147091,1589579091,1589147091,1589579071,21599,16378,8239077070.090019,4974.463284,,0.3037283724508487
193,1589579091,1590011091,1589579091,1590011071,21600,16181,16116221449.500788,5229.589091,,0.3231931951671714
194,1590011091,1590443091,1590011091,1590443071,21598,16891,11991948056.582293,5385.130954,,0.3188165859925404
195,1590443091,1590875091,1590443091,1590875071,21559,21949,28601404893.392,6732.064087,,0.3067139317053168
196,1590875091,1591307091,1590875091,1591307071,21600,32469,166020080883.15308,9463.587217,,0.2914653120514953
197,1591307091,1591739091,1591307091,1591739071,21597,23588,57201766088.404335,9487.793013,,0.4022296512209598
198,1591739091,1592171091,1591739091,1592171071,21600,21776,22808675336.715076,6701.550912,,0.3077493989713445
199,1592171091,1592603091,1592171091,1592603071,21589,20370,49858212970.32606,6604.336118,,0.3242187588610702
200,1592603091,1593035091,1592603091,1593035071,21600,18045,29643885158.52283,6282.045146,,0.3481321776669437
201,1593035091,1593467091,1593035091,1593467071,21543,18234,26674498981.355724,6496.336435,,0.3562759918284524
202,1593467091,1593899091,1593467091,1593899071,21596,25411,75732674782.74948,8244.061985,,0.3244288687969777
203,1593899091,1594331091,1593899091,1594331071,21600,36127,98879984772.34187,10964.300497,,0.3034932459656212
204,1594331091,1594763091,1594331091,1594763071,21600,24082,41251310917.349205,7890.836804,,0.3276653435761149
205,1594763091,1595195091,1594763091,1595195071,21600,21935,37650161480.681335,7843.256241,,0.3575680985183497
206,1595195091,1595627091,1595195091,1595627071,21591,20166,18077465252.157795,7377.174619,,0.3658224049885947
207,1595627091,1596059091,1595627091,1596059071,21544,27210,152024071569.03772,8077.34891,,0.2968522201396545
208,1596059091,1596491091,1596059091,1596491071,21556,53708,18082439244.006683,10670.212208,,0.1986708164146868
209,1596491091,1596923091,1596491091,1596923071,21570,36916,156423261664.86887,7666.346424,,0.2076700190703218
210,1596923091,1597355091,1596923091,1597355071,21547,36267,107200143334.61244,7770.532273,6057875150.904311,0.2142590308820691
211,1597355091,1597787091,1597355091,1597787068,21315,29083,66089740942.39711,6517.886228,10177811974.822905,0.2241132698827493
212,1597787091,1598219091,1597787091,1598219066,21280,24691,39331228906.60465,5578.218279,12106602864.871836,0.2259211161556842
213,1598219091,1598651091,1598219091,1598651065,21442,29348,28704281756.58812,7100.593256,12758829109.78435,0.241944706828404
214,1598651091,1599083091,1598651091,1599083064,21452,32374,67884126853.66413,7501.833746,13382718156.097189,0.2317240299623154
215,1599083091,1599515091,1599083091,1599515063,21572,32538,62380614021.09675,8110.049274,13864141914.846088,0.2492485485893417
216,1599515091,1599947091,1599515098,1599947063,21217,23374,22711441812.8787,5935.808427,14396547846.613762,0.2539491925643878
217,1599947091,1600379091,1599947091,1600379062,20728,20379,11972700977.894917,5075.696054,14776118270.46974,0.2490650205603808
218,1600379091,1600811091,1600379091,1600811062,20511,18439,18884590747.536743,4547.068473,14987431249.067863,0.2466006005206356
219,1600811091,1601243091,1600811091,1601243060,21427,20239,19083308578.055496,4970.020516,15657991508.07296,0.2455665060526705
220,1601243091,1601675091,1601243091,1601675059,21627,19534,12708523642.248888,5135.934788,15859988643.309526,0.2629228416095013
221,1601675091,1602107091,1601675091,1602107062,21547,16365,14661316268.620604,3913.521858,16064098678.859669,0.2391397407882676
222,1602107091,1602539091,1602107091,1602539065,21466,19298,16854292321.003504,4499.540105,16371244779.82402,0.2331609547621515
223,1602539091,1602971091,1602539091,1602971056,21374,18098,15617686728.839956,4423.831286,16743231852.830276,0.2444375779644159
224,1602971091,1603403091,1602971091,1603403068,21324,17527,13228947318.478115,4124.509016,16980957495.73468,0.235323159468249
225,1603403091,1603835091,1603403091,1603835086,21298,17856,7849943934.049314,4203.312194,17096070009.862837,0.2354005484991039
226,1603835091,1604267091,1603835091,1604267052,21439,19122,9868535708.539797,4393.72089,17208683641.999023,0.2297730828365233
227,1604267091,1604699091,1604267091,1604699054,21125,22103,28722505796.671917,4962.718967,17260167504.454384,0.2245269405510564
228,1604699091,1605131091,1604699091,1605131087,21171,31103,10233796013.39034,6777.734939,17348591975.63094,0.2179125788187634
229,1605131091,1605563091,1605131091,1605563047,21229,23712,8256404575.72957,5316.818724,19510155416.09184,0.2242248112348178
230,1605563091,1605995091,1605563091,1605995082,21244,31432,13518402099.265951,7168.655203,19636382936.67075,0.2280686944196996
